year,low
1999,0.8027450980392160
2000,0.9139705882352940
2001,1.0504901960784300
2002,1.2561764705882400
2003,1.4090547263681600
2004,1.4880434782608700
2005,1.5073863636363600
2006,1.5108024691358000
2007,1.5003311258278100
2008,1.4863043478260900
2009,1.5093233082706800
2010,1.4972185430463600
2011,1.4688750000000000
2012,1.440769230769230
2013,1.4146354166666700
2014,1.396734693877550
2015,1.3668020304568500
2016,1.3849748743718600
2017,1.3804522613065300
2018,1.3648241206030200
2019,1.3636000000000000
2020,1.3967171717171700
2021,1.3964
